Statement,Answer,Topic

"What is the time complexity of the binary search algorithm in the worst case? a) O(n) b) O(log n) c) O(n^2) d) O(1)", b, "Algorithms"

"Which of the following is a property of a Binary Search Tree (BST)? a) The left subtree of a node contains only nodes with keys less than the node’s key b) The right subtree of a node contains only nodes with keys less than the node’s key c) The left subtree of a node contains only nodes with keys greater than the node’s key d) None of the above", a, "Binary-Search-Tree"

"If f: A → B is a one-to-one (injective) function and A has 5 elements, how many elements does the set B have at least? a) 3 b) 4 c) 5 d) 6", c, "Functions-and-Relations"

"In a simple graph, what is the maximum number of edges possible with 5 vertices? a) 5 b) 10 c) 15 d) 20", b, "Graphs"

"Which of the following is an example of an inference rule? a) Modus Ponens b) De Morgan's Laws c) Double Negation d) Commutative Law", a, "Inference"

"Which of the following propositions is logically equivalent to ¬(p ∨ q)? a) ¬p ∨ ¬q b) ¬p ∧ q c) ¬p ∧ ¬q d) p ∧ ¬q", c, "Logical-Equivalence"

"Which of the following statements is true for mathematical induction? a) It is used to prove the base case b) It is used to prove the inductive step c) It is used to prove the base case and inductive step d) None of the above", c, "Mathematical-Induction"

"Which of the following is a proposition with variables? a) p → q b) p ∨ q c) p ∧ q d) ∀x(P(x) → Q(x))", d, "Proposition-with-variables"

"Which of the following is a valid implication in propositional logic? a) ( p → (q ∧ r) ) b) ( p ∧ (q → r) ) c) ( p → q ∧ r ) d) ( p ∧ q → r )", a, "Proposition"

"Which of the following is used in tree traversal? a) Preorder b) Inorder c) Postorder d) All of the above", d, "Tree-Traversals"

"Which of the following data structures is used in the implementation of trees? a) Arrays b) Linked Lists c) Queues d) Stacks", b, "Tree-Implementation"

"In a binary tree, each node can have a maximum of how many children? a) 1 b) 2 c) 3 d) 4", b, "Trees"

"Which of the following is an example of a rational number? a) π b) e c) √2 d) 1/2", d, "Types-of-Numbers"

"Which of the following is a type of proof used in mathematics? a) Direct Proof b) Indirect Proof c) Proof by Contradiction d) All of the above", d, "Types-of-Proofs"
